country_name_short;country_name;election_type;election_date;vote_share;seats;seats_total;party_name_short;party_name;party_name_english;left_right;country_id;election_id;previous_parliament_election_id;party_id
BGR;Bulgaria;parliament;2009-07-05;14,45;38;240;DPS;Dvizhenie za prava i svobodi;Movement for Rights and Freedoms;4,745;10;79;618;1286
BGR;Bulgaria;parliament;2009-07-05;9,36;21;240;ATA;Natsionalen Sǎyuz Ataka;National Union Attack;5,46;10;79;618;535
BGR;Bulgaria;parliament;2009-07-05;6,76;15;240;BC;Sinyata koalitsia;Blue Coalition;;10;79;618;1254
BGR;Bulgaria;parliament;2009-07-05;0,52;0;240;Z;Zelenite;The Greens;;10;79;618;770
BGR;Bulgaria;parliament;2009-07-05;3,02;0;240;NDSV;Natsionalno Dvizhenie Simeon Vtori;National Movement Simeon II;5,86;10;79;618;544
BGR;Bulgaria;parliament;2009-07-05;3,26;0;240;LR;Lider;Lider;;10;79;618;566
CYP;Cyprus;parliament;2006-05-21;31,1;18;56;AKEL;Anorthotikó Kómma Ergazómenou Laoú;Progressive Party of Working People;;51;556;339;572
CYP;Cyprus;parliament;2006-05-21;30,3;18;56;DISY;Dimokratikós Sinayermós;Democratic Rally;;51;556;339;1575
CYP;Cyprus;parliament;2006-05-21;17,9;10;56;DIKO;Dimokratikó Kómma;Democratic Party;;51;556;339;851
CYP;Cyprus;parliament;2006-05-21;8,9;5;56;ADK;Agonistiko Dimokratiko Kinima;Fighting Democratic Movement;;51;556;339;1049
CYP;Cyprus;parliament;2006-05-21;5,8;4;56;EK;Eniaion Komma;Unified Party;;51;556;339;632
CYP;Cyprus;parliament;2006-05-21;2;1;56;KOP;Kinima Oikologoi Perivallontistoi;Ecological and Environmental Movement;;51;556;339;1621
CYP;Cyprus;parliament;2006-05-21;1,6;0;56;ED;Enomeni Dimokrates;Free Democrats Movement;;51;556;339;1523
CZE;Czech Republic;parliament;2010-05-29;22,08;56;200;CSSD;Česká strana sociálně demokratická;Czech Social Democratic Party;2,931111111;68;599;50;789
CZE;Czech Republic;parliament;2010-05-29;20,22;53;200;ODS;Občanská demokratická strana;Civic Democratic Party;7,274444444;68;599;50;829
CZE;Czech Republic;parliament;2010-05-29;16,7;41;200;TOP09;Tradice Odpovědnost Prosperita 09;Tradition Responsibility Prosperity 09;;68;599;50;2
CZE;Czech Republic;parliament;2010-05-29;11,27;26;200;KSCM;Komunistická strana Cech a Moravy;Communist Party of Bohemia and Moravia;0,712222222;68;599;50;1173
CZE;Czech Republic;parliament;2010-05-29;10,88;24;200;VV;Věci veřejné;Public Affairs;;68;599;50;336
CZE;Czech Republic;parliament;2010-05-29;4,33;0;200;SPOZ;Strana Práv Občanů – Zemanovci;Party of Civic Rights -- Zemanovci;;68;599;50;406
CZE;Czech Republic;parliament;2010-05-29;0,8;0;200;CPS;Česká pirátská strana;Czech Pirate Party;;68;599;50;97
CZE;Czech Republic;parliament;2010-05-29;3,67;0;200;S-JB;Suverenita – blok Jany Bobošíkové;Sovereignty -- Jana Bobosikova Bloc;;68;599;50;1613
CZE;Czech Republic;parliament;2010-05-29;2,44;0;200;Sz;Strana zelených;Green Party;4,86;68;599;50;196
CZE;Czech Republic;parliament;2010-05-29;0,74;0;200;SSO;Strana svobodných občanů;Party of Free Citizens;;68;599;50;363
CZE;Czech Republic;parliament;2010-05-29;4,39;0;200;KDU/CSL;Křesťanská a demokratická unie / Československá strana lidová;Christian Democratic Union / People's Party;5,967777778;68;599;50;1245
CZE;Czech Republic;parliament;2010-05-29;1,14;0;200;DSSS;Dělnická strana sociální spravedlnosti;Workers' Party of Social Justice;;68;599;50;795
DEU;Germany;parliament;2009-09-27;27,3;194;622;CDU;Christlich Demokratische Union;Christian Democratic Union;6,175777803;54;93;118;808
DEU;Germany;parliament;2009-09-27;23;146;622;SPD;Sozialdemokratische Partei Deutschlands;Social Democratic Party of Germany;3,598888889;54;93;118;558
DEU;Germany;parliament;2009-09-27;14,6;93;622;FDP;Freie Demokratische Partei;Free Democratic Party;5,806444432;54;93;118;543
DEU;Germany;parliament;2009-09-27;11,9;76;622;Linke;Die Linke;The Left;1,183055552;54;93;118;1227
DEU;Germany;parliament;2009-09-27;10,7;68;622;Grue;Bündnis 90 / Die Grünen;Alliance 90 / Greens;2,874444444;54;93;118;772
DEU;Germany;parliament;2009-09-27;6,5;45;622;CSU;Christlich Soziale Union;Christian Social Union;7,419999962;54;93;118;1180
DEU;Germany;parliament;2009-09-27;2;0;622;Pirat;Piratenpartei Deutschland;German Pirate Party;;54;93;118;865
DEU;Germany;parliament;2009-09-27;0,3;0;622;Fam;Familien-Partei Deutschlands;Family Party of Germany;;54;93;118;1235
DEU;Germany;parliament;2009-09-27;0,4;0;622;Rep;Die Republikaner;Republicans;9,218254036;54;93;118;524
DEU;Germany;parliament;2009-09-27;0,5;0;622;Tier;Tierschutzpartei;Animal Welfare Party;;54;93;118;301
DEU;Germany;parliament;2009-09-27;1,5;0;622;NPD;Nationaldemokratische Partei Deutschlands;National Democratic Party;;54;93;118;1537
DNK;Denmark;parliament;2007-11-13;26,3;46;175;V;Venstre;Liberal Party of Denmark;7,268571415;21;174;563;1605
DNK;Denmark;parliament;2007-11-13;25,5;45;175;Sd;Socialdemokraterne;Social Democrats;3,868984141;21;174;563;1629
DNK;Denmark;parliament;2007-11-13;13,9;25;175;DF;Dansk Folkeparti;Danish Peoples Party;8,459047483;21;174;563;1418
DNK;Denmark;parliament;2007-11-13;13;23;175;SF;Socialistisk Folkeparti;Socialist Peoples Party;2,185142878;21;174;563;1644
DNK;Denmark;parliament;2007-11-13;10,4;18;175;KF;Konservative;Conservatives;7,168349193;21;174;563;590
DNK;Denmark;parliament;2007-11-13;5,1;9;175;RV;Det Radikale Venstre;Danish Social-Liberal Party;4,969777778;21;174;563;211
DNK;Denmark;parliament;2007-11-13;2,8;5;175;NLAll;Ny/Liberal Alliance;New/Liberal Alliance;;21;174;563;376
DNK;Denmark;parliament;2007-11-13;2,2;4;175;Enh;Enhedslisten / De Rød-Grønne;Unity List;1;21;174;563;306
DNK;Denmark;parliament;2007-11-13;;4;175;G/F;Grønland og Færøerne;Greenland and Faroe Islands;;21;174;563;1634
DNK;Denmark;parliament;2007-11-13;0,9;0;175;KrF;Kristeligt Folkeparti;Christian People's Party;5,809523741;21;174;563;1331
ESP;Spain;parliament;2008-03-09;43,7;169;350;PSOE;Partido Socialista Obrero Español;Spanish Socialist Workers Party;3,727666667;27;500;164;902
ESP;Spain;parliament;2008-03-09;40,1;153;350;PP;Partido Popular;Popular Party;7,433444444;27;500;164;645
ESP;Spain;parliament;2008-03-09;3,1;11;350;CiU;Convergència i Unió;Convergence and Unity;6,173888889;27;500;164;894
ESP;Spain;parliament;2008-03-09;1,2;6;350;PNV;Partido Nacionalista Vasco;Basque National Party;6,036222222;27;500;164;1361
ESP;Spain;parliament;2008-03-09;1,2;3;350;ERC;Esquerra Republicana de Catalunya;Republican Left of Catalonia;3,107222249;27;500;164;757
ESP;Spain;parliament;2008-03-09;0,8;2;350;BNG;Bloque Nacionalista Galego;Galician Nationalist Block;2,911666667;27;500;164;520
ESP;Spain;parliament;2008-03-09;3,8;2;350;IU/PCE;Izquierda Unida / Partido Communista;United Left / Communist Party;2,147666667;27;500;164;118
ESP;Spain;parliament;2008-03-09;0,6;2;350;CC;Coalicion Canaria;Canary Coalition;5,978888836;27;500;164;234
ESP;Spain;parliament;2008-03-09;0,3;1;350;NaBai;Nafarroa Bai;Navarre Yes;;27;500;164;385
ESP;Spain;parliament;2008-03-09;0,2;0;350;CA;Chunta Aragonesista;Aragonese Council;2,75;27;500;164;1367
ESP;Spain;parliament;2008-03-09;0,2;0;350;EA;Eusko Alkartasuna;Basque Solidarity;4,311527818;27;500;164;845
EST;Estonia;parliament;2007-03-04;27,8;31;101;ERe;Eesti Reformierakond;Estonian Reform Party;7,033333333;75;83;423;113
EST;Estonia;parliament;2007-03-04;26,1;29;101;EK;Eesti Keskerakond;Centre Party of Estonia;3,866666667;75;83;423;1137
EST;Estonia;parliament;2007-03-04;17,9;19;101;IRL;Erakond Isamaa ja Res Publica Liit;Union of Pro Patria and Res Publica;;75;83;423;1597
EST;Estonia;parliament;2007-03-04;10,6;10;101;SDE-M;Sotsiaaldemokraatlik Erakond – Mõõdukad;Social Democratic Party -- Moderates;4,144444444;75;83;423;1448
EST;Estonia;parliament;2007-03-04;7,1;6;101;ERa;Eestimaa Rahvalliit;People's Union of Estonia;4,2;75;83;423;417
EST;Estonia;parliament;2007-03-04;7,1;6;101;EER;Erakonna Eestimaa Rohelised;Estonian Greens;5,555555556;75;83;423;219
FIN;Finland;parliament;2007-03-18;23,1;51;200;KESK;Keskusta – Finland;Centre Party;5,805333314;67;314;253;94
FIN;Finland;parliament;2007-03-18;22,3;50;200;KOK;Kansallinen Kokoomus – Samlingspartiet;National Coalition Party;7,159777759;67;314;253;1118
FIN;Finland;parliament;2007-03-18;21,4;45;200;SSDP;Suomen Sosialidemokraattinen Puolue – Finlands Socialdemokratiska Parti;Social Democratic Party of Finland;3,49311113;67;314;253;395
FIN;Finland;parliament;2007-03-18;8,8;17;200;VAS;Vasemmistoliitto – Vänsterförbundet;Left Alliance;2,371944444;67;314;253;1427
FIN;Finland;parliament;2007-03-18;8,5;15;200;VIHR;Vihreä Liitto – Gröna Förbundet;Greens;3,700833321;67;314;253;1062
FIN;Finland;parliament;2007-03-18;4,6;9;200;RKP-SFP;Ruotsalainen Kansanpuolue – Svenska Folkepartiet i Finland;Swedish Peoples Party;6,325777759;67;314;253;585
FIN;Finland;parliament;2007-03-18;4,9;7;200;KD;Suomen Kristillisdemokraatit – Kristdemokraterna i Finland;Christian Union;7,225777778;67;314;253;1463
FIN;Finland;parliament;2007-03-18;4,1;5;200;SPP;Suomen Puolue / Perussuomalaiset;Finnish Party / True Finns;6,391666714;67;314;253;200
FIN;Finland;parliament;2007-03-18;0,4;1;200;AS;Åländsk Samlingin ääntä – Åländsk Samling;Aland Coalition;;67;314;253;66
FIN;Finland;parliament;2007-03-18;0,7;0;200;SKP;Suomen Kommunistinen Puolue (1997) – Finlands Kommunistiska Partiet (1997);Communist  Party of Finland (1997);;67;314;253;806
FRA;France;parliament;2007-06-17;39,5;313;577;UMP;Union pour un mouvement populaire;Union for a Popular Movement;7,499746059;43;171;403;658
FRA;France;parliament;2007-06-17;24,7;186;577;PS;Parti socialiste;Socialist Party;3,249269848;43;171;403;1539
FRA;France;parliament;2007-06-17;2,4;22;577;NC;Nouveau Centre;New Centre;;43;171;403;1058
FRA;France;parliament;2007-06-17;4,3;15;577;PCF;Parti communiste française;French Communist Party;1,374063485;43;171;403;686
FRA;France;parliament;2007-06-17;2;15;577;Gauche;Divers gauche;Others Left;;43;171;403;177
FRA;France;parliament;2007-06-17;2,5;9;577;Droite;Divers droite;Other right;7,658333302;43;171;403;285
FRA;France;parliament;2007-06-17;1,3;7;577;PRG;Parti radical de gauche;Radical Party of the Left;4,081309473;43;171;403;1492
FRA;France;parliament;2007-06-17;7,6;4;577;MoDem;Mouvement démocrate;Democratic Movement;;43;171;403;937
FRA;France;parliament;2007-06-17;3,3;4;577;V;Les Verts;Greens;3,155015859;43;171;403;873
FRA;France;parliament;2007-06-17;;2;577;etc;divers;others;;43;171;403;1328
FRA;France;parliament;2007-06-17;1,2;1;577;MF;Mouvement pour la France;Movement for France;8,172142925;43;171;403;1101
FRA;France;parliament;2007-06-17;0,4;0;577;MNR;Mouvement national républicain;National Republican Movement;8,278571129;43;171;403;1263
FRA;France;parliament;2007-06-17;4,3;0;577;FN;Front National;National Front;9,685428566;43;171;403;270
GRC;Greece;parliament;2009-10-04;43,92;160;300;PASOK;Panellinio Sosialistikó Kínima;Panhellenic Socialist Movement;4,34;41;651;466;1338
GRC;Greece;parliament;2009-10-04;33,48;91;300;ND;Néa Đimokratía;New Democracy;6,427142925;41;651;466;47
GRC;Greece;parliament;2009-10-04;7,54;21;300;KKE;Kommounistikó Kómma Elládas;Communist Party of Greece;0,727619065;41;651;466;614
GRC;Greece;parliament;2009-10-04;5,63;15;300;LAOS;Laïkós Orthódoxos Synagermós;Popular Orthodox Rally;9,11;41;651;466;1179
GRC;Greece;parliament;2009-10-04;4,6;13;300;SRA;Synaspismós Rizospastikís Aristerás;Coalition of the Radical Left;;41;651;466;1592
GRC;Greece;parliament;2009-10-04;2,53;0;300;OP;Oikologoi Prasinoi;Ecologist Greens;;41;651;466;1280
HUN;Hungary;parliament;2010-04-25;;227;386;Fidesz-MPSz;Fidesz – Magyar Polgári Szövetség;Fidesz-Hungarian Civic Union;6,251481481;39;688;194;921
HUN;Hungary;parliament;2010-04-25;19,3;59;386;MSZP;Magyar Szocialista Párt;Hungarian Socialist Party;2,775555556;39;688;194;1591
HUN;Hungary;parliament;2010-04-25;16,67;47;386;MIEP-Jobbik;Magyar Igazság és Élet Pártja – Jobbik a Harmadik Út;Hungarian Justice and Life Party -- Jobbik and Third Way Alliance;9,71;39;688;194;584
HUN;Hungary;parliament;2010-04-25;;36;386;KDNP;Kereszténydemokrata Néppárt;Christian Democratic People's Party;7,4;39;688;194;434
HUN;Hungary;parliament;2010-04-25;7,48;16;386;LMP;Lehet Más a Politika;Politics Can Be Different;;39;688;194;403
HUN;Hungary;parliament;2010-04-25;;1;386;none;független;no party affiliation;;39;688;194;1617
HUN;Hungary;parliament;2010-04-25;0,73;0;386;CM;Civil Mozgalom;Civil Movement;;39;688;194;1515
HUN;Hungary;parliament;2010-04-25;2,18;0;386;MDF;Magyar Demokrata Fórum;Hungarian Democratic Forum;6,428518519;39;688;194;546
HUN;Hungary;parliament;2010-04-25;52,73;263;386;Fidesz/KDNP;Fidesz – Magyar Polgári Szövetség / Kereszténydemokrata Néppárt;Fidesz -- Hungarian Civic Party / Christian Democratic People’s Party;6,251481481;39;688;194;437
IRL;Ireland;parliament;2007-05-24;41,6;78;166;FF;Fianna Fáil;Fianna Fail (Soldiers of Destiny);5,992666667;37;190;408;280
IRL;Ireland;parliament;2007-05-24;27,3;51;166;FG;Fine Gael;Fine Gael (Familiy of the Irish);6,489333333;37;190;408;1393
IRL;Ireland;parliament;2007-05-24;10,1;20;166;Lab;Páirti Lucht Oibre;Labour Party;3,678888889;37;190;408;318
IRL;Ireland;parliament;2007-05-24;4,7;6;166;Greens;Green Party-Comhaontas Glas;Green Party;2,421111085;37;190;408;1573
IRL;Ireland;parliament;2007-05-24;5,1;5;166;none;no party affiliation;no party affiliation;;37;190;408;30
IRL;Ireland;parliament;2007-05-24;6,9;4;166;SF;Sinn Féin;Sinn Fein;;37;190;408;433
IRL;Ireland;parliament;2007-05-24;2,7;2;166;PD;An Pairti Daonlathach;Progressive Democrats;7,990277778;37;190;408;651
IRL;Ireland;parliament;2007-05-24;0,6;0;166;SP;Páirtí Sóisialach;Socialist Party;1,333333373;37;190;408;1014
ITA;Italy;parliament;2008-04-13;38,21;276;630;IPdL;Il Popolo della Libertà;The People of Freedom;6,967777831;26;111;107;51
ITA;Italy;parliament;2008-04-13;34,01;217;630;PD;Partito Democratico;Democratic Party;2,95;26;111;107;382
ITA;Italy;parliament;2008-04-13;8,29;60;630;LN;Lega Nord;North League;7,660555556;26;111;107;1436
ITA;Italy;parliament;2008-04-13;5,84;36;630;UdC;Unione di Centro;Union of the Centre;6,166666746;26;111;107;737
ITA;Italy;parliament;2008-04-13;4,48;29;630;IdV;Italia dei Valori;Italy of Values;4,915;26;111;107;693
ITA;Italy;parliament;2008-04-13;1,12;8;630;MpA;Movimento per l'Autonomia;Movement for Autonomy;;26;111;107;1040
ITA;Italy;parliament;2008-04-13;0,4;2;630;SVP;Südtiroler Volkspartei;South Tyrol Peoples Party;5,400000095;26;111;107;1030
ITA;Italy;parliament;2008-04-13;0,23;1;630;MAIE;Movimento Associativo Italiani all'Estero;Associative Movement Italians Abroad;;26;111;107;927
ITA;Italy;parliament;2008-04-13;0,08;1;630;ALD;Autonomie Liberté Démocratie;Autonomy Liberty Democracy;;26;111;107;1063
ITA;Italy;parliament;2008-04-13;1,06;0;630;PSo;Partito Socialista;Socialist Party;;26;111;107;175
ITA;Italy;parliament;2008-04-13;0,57;0;630;PCdL;Partito Comunista dei Lavoratori;Workers' Communist Party;;26;111;107;295
ITA;Italy;parliament;2008-04-13;3,16;0;630;LSLA;La Sinistra L'Arcobaleno;The Left The Rainbow;;26;111;107;1437
ITA;Italy;parliament;2008-04-13;2,46;0;630;LDFT;La Destra Fiamma Tricolore;The Right Tricolor Flame;;26;111;107;807
LTU;Lithuania;parliament;2008-10-12;19,6;44;141;TS-LKD;Tėvynės sąjunga – Lietuvos krikščionys demokratai;Homeland Union -- Lithuanian Christian Democrats;;15;646;214;293
LTU;Lithuania;parliament;2008-10-12;11,8;26;141;LSDP;Lietuvos socialdemokratų partija;Lithuanian Social Democratic Party;3,3;15;646;214;1277
LTU;Lithuania;parliament;2008-10-12;15,1;16;141;Tpp;Tautos prisikėlimo partija;National Resurrection Party;;15;646;214;1502
LTU;Lithuania;parliament;2008-10-12;12,7;15;141;TT-LDP;Tvarka ir teisingumas – Liberalų Demokratų Partija;Order and Justice -- Liberal Democratic Party;4,86;15;646;214;1421
LTU;Lithuania;parliament;2008-10-12;5,7;11;141;LRLS;Lietuvos Respublikos Liberalų sąjūdis;Liberals' Movement of the Republic of Lithuania;;15;646;214;482
LTU;Lithuania;parliament;2008-10-12;9;10;141;DP;Darbo Partija;Labour Party;3,86;15;646;214;581
LTU;Lithuania;parliament;2008-10-12;5,3;8;141;LiCS;Liberalų ir centro sąjunga;Liberal and Centre Union;;15;646;214;983
LTU;Lithuania;parliament;2008-10-12;;4;141;none;no party affiliation;no party affiliation;;15;646;214;58
LTU;Lithuania;parliament;2008-10-12;4,8;3;141;LLRA;Lietuvos lenkų rinkimų akcija;Election Action of Lithuania's Poles;3,865;15;646;214;28
LTU;Lithuania;parliament;2008-10-12;3,7;3;141;LVLS;Lietuvos valstiečių liaudininkų sąjunga;Lithuanian Peasant Popular Union;;15;646;214;191
LTU;Lithuania;parliament;2008-10-12;3,7;1;141;NS;Naujoji sąjunga (socialliberalai);New Union;4,27;15;646;214;856
LVA;Latvia;parliament;2010-10-02;31,219;33;100;V;Vienotība;Unity;;55;690;52;1666
LVA;Latvia;parliament;2010-10-02;26,037;29;100;SC;Saskaņas Centrs;Harmony Centre;3;55;690;52;1100
LVA;Latvia;parliament;2010-10-02;19,681;22;100;ZZS;Zaļo un Zemnieku savienība;Green and Farmers' Union;;55;690;52;466
LVA;Latvia;parliament;2010-10-02;7,667;8;100;TB/LNNK;Tēvzemei un Brīvībai / LNNK;For Fatherland and Freedom / LNNK;8,375;55;690;52;521
LVA;Latvia;parliament;2010-10-02;7,652;8;100;PLL;Par Labu Latviju!;For a Good Latvia;;55;690;52;1667
LVA;Latvia;parliament;2010-10-02;1,434;0;100;PCTVL;Par cilvēka tiesībām vienotā Latvijā;For Human Rights in a United Latvia;1,25;55;690;52;1520
LVA;Latvia;parliament;2010-10-02;0,971;0;100;RL;Ražots Latvijā;Made in Latvia;;55;690;52;1668
LVA;Latvia;parliament;2010-10-02;0,876;0;100;Pp;Pēdējā partija;Last Party;;55;690;52;1669
LVA;Latvia;parliament;2010-10-02;0,736;0;100;Ppr;Par prezidentālu republiku;For a Presidential Republic;;55;690;52;1670
LVA;Latvia;parliament;2010-10-02;0,636;0;100;LSDSP;Latvijas Sociāldemokrātiskā Strādnieku Partija;Latvian Social Democratic Workers' Party;2,5;55;690;52;1656
MLT;Malta;parliament;2008-03-08;49,3;35;69;PN;Partit Nazzjonalista;Nationalist Party;;72;203;509;984
MLT;Malta;parliament;2008-03-08;48,8;34;69;MLP;Partit Laburista;Malta Labour Party;;72;203;509;1003
MLT;Malta;parliament;2008-03-08;0,7;0;69;AD;Alternattiva Demokratika;Democratic Alternative;;72;203;509;360
NLD;Netherlands;parliament;2010-06-09;20,49;31;150;VVD;Volkspartij voor Vrijheid en Democratie;People's Party for Freedom and Democracy;7,203777797;8;530;578;1409
NLD;Netherlands;parliament;2010-06-09;19,63;30;150;PvdA;Partij van de Arbeid;Labour;3,537111102;8;530;578;742
NLD;Netherlands;parliament;2010-06-09;15,45;24;150;PVV;Partij voor de Vrijheid;Party for Freedom;8,8;8;530;578;1501
NLD;Netherlands;parliament;2010-06-09;13,61;21;150;CDA;Christen Democratisch Appèl;Christian Democrats;5,80177774;8;530;578;235
NLD;Netherlands;parliament;2010-06-09;9,82;15;150;SP;Socialistische Partij;Socialist Party;1,242500006;8;530;578;357
NLD;Netherlands;parliament;2010-06-09;6,67;10;150;GL;Groen Links;Greens;2,036666643;8;530;578;756
NLD;Netherlands;parliament;2010-06-09;6,95;10;150;D66;Democraten 66;Libertarians;4,420444464;8;530;578;345
NLD;Netherlands;parliament;2010-06-09;3,24;5;150;CU;ChristenUnie – Staatkundig Gereformeerde Partij;ChristianUnion -- Reformed Political Party;6,315;8;530;578;1206
NLD;Netherlands;parliament;2010-06-09;1,3;2;150;PvdD;Partij voor de Dieren;Party for the Animals;;8;530;578;990
NLD;Netherlands;parliament;2010-06-09;1,74;2;150;SGP;Staatkundig Gereformeerde Partij;Political Reformed Party;8,447222175;8;530;578;1251
NLD;Netherlands;parliament;2010-06-09;0,56;0;150;TOP;Trots op Nederland;Proud of the Netherlands;;8;530;578;1247
POL;Poland;parliament;2007-10-19;41,51;209;460;PO;Platforma Obywatelska;Citizen's Platform;6,085;74;560;188;512
POL;Poland;parliament;2007-10-19;32,11;166;460;PiS;Prawo i Sprawiedliwość;Law and Justice;7,755;74;560;188;528
POL;Poland;parliament;2007-10-19;;37;460;SLD;Sojusz Lewicy Demokratycznej;Alliance of Democratic Left;2,89037037;74;560;188;629
POL;Poland;parliament;2007-10-19;8,91;31;460;PSL;Polskie Stronnictwo Ludowe;Polish People's Party;4,237777778;74;560;188;664
POL;Poland;parliament;2007-10-19;;10;460;SDPL;Socjaldemokracja Polska;Social Democracy of Poland;3;74;560;188;1140
POL;Poland;parliament;2007-10-19;;5;460;none;no party affiliation;no party affiliation;;74;560;188;1011
POL;Poland;parliament;2007-10-19;;1;460;PD;Partia Demokratyczna – demokraci.pl;Democratic Party -- demokraci.pl;;74;560;188;989
POL;Poland;parliament;2007-10-19;0,2;1;460;MN;Mniejszość niemiecka w Polsce;German minority;;74;560;188;900
POL;Poland;parliament;2007-10-19;0,99;0;460;PPP;Polska Partia Pracy;Polish Party of Work;;74;560;188;1350
POL;Poland;parliament;2007-10-19;1,53;0;460;SRP;Samoobrona Rzeczypospolitej Polskiej;Self Defense of the Polish Republic;4,82;74;560;188;207
POL;Poland;parliament;2007-10-19;1,3;0;460;LPR;Liga Polskich Rodzin;League of Polish Families;9,27;74;560;188;987
POL;Poland;parliament;2007-10-19;13,15;53;460;LiD;Lewica i Demokraci;Left and Democrats;;74;560;188;180
PRT;Portugal;parliament;2009-09-27;36,56;97;230;PS;Partido Socialista;Socialist Party;4,052777754;63;405;210;725
PRT;Portugal;parliament;2009-09-27;29,11;81;230;PSD;Partido Social Democrata;Social Democratic Party;6,176944421;63;405;210;1273
PRT;Portugal;parliament;2009-09-27;10,43;21;230;CDS-PP;Partido Popular;People's Party;7,934999952;63;405;210;251
PRT;Portugal;parliament;2009-09-27;9,81;16;230;BdE;Bloco de Esquerda;Bloc of the Left;1,95;63;405;210;557
PRT;Portugal;parliament;2009-09-27;7,86;15;230;CDU;Coligação Democrático Unitária;Unified Democratic Coalition;2,223333317;63;405;210;1295
PRT;Portugal;parliament;2009-09-27;0,93;0;230;PCTP/MRPP;Comunista dos Trabalhadores Portugueses / Movimento Reorganizativo do Partido do Proletariado;Communist Party of the Portuguese Workers / Reorganizative Movement of the Party of the Proletariat;;63;405;210;281
ROU;Romania;parliament;2008-11-30;32,4;115;334;PD-L;Partidul Democrat-Liberal;Democratic Liberal Party;5,435;23;319;165;958
ROU;Romania;parliament;2008-11-30;31,94;110;334;PSD;Partidul Social Democrat;Social Democratic Party;3,296296296;23;319;165;1120
ROU;Romania;parliament;2008-11-30;18,6;65;334;PNL;Partidul Naţional Liberal;National Liberal Party;5,742962963;23;319;165;1015
ROU;Romania;parliament;2008-11-30;6,2;22;334;UDMR;Uniunea Democrată Maghiară din România;Democratic Union of Hungarians in Romania;5,91;23;319;165;948
ROU;Romania;parliament;2008-11-30;3,6;18;334;etnice;Partidele minorităţilor etnice din România;Romanian ethnic minorities parties;;23;319;165;425
